WKT;NOMBRE;NOM_MAP;OBJETO;CALLE;ALTURA;DOM_NORMA;DOM_GEO;TELEFONO;GUARDIA;FAX;WEB;COD_POSTAL;TIPO;TIPO_ESPEC;MOD_AT_1;MOD_AT_2;DEPEND_ADM;DIRECTOR;SUBDIRECTOR;;;;;;
POINT (-58.4027506275377 -34.634856308415);HOSPITAL MATERNO INFANTIL R. SARDA;HOSP. SARDA;HOSPITAL;ESTEBAN DE LUCA;2151;LUCA, ESTEBAN DE 2151;2151 LUCA, ESTEBAN DE;4943-3567;4943-4250;494-34966;www.sarda.org.ar;C1246ABQ;Hospital especializado;MATERNO-INFANTIL;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr Ruben Almada ;Presta Edgardo Gustavo ;;;;;;
POINT (-58.4005134574423 -34.5847659581214);HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;HOSP. RIVADAVIA;HOSPITAL;GENERAL LAS HERAS;2670;LAS HERAS GENERAL AV. 2670;2670 LAS HERAS GENERAL AV.;4809-2000;4809-2002 / 2340;4802-2721;www.buenosaires.gov.ar/areas/salud/rivadavia;C1425ASQ;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Eduardo Fernández Rostello;Dr Ricardo Levaggi;;;;;;
POINT (-58.365985088719 -34.6283448581677);HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;HOSP. ARGERICH;HOSPITAL;CORBETA PI Y MARGAL;750;PI Y MARGALL 750;750 PI Y MARGALL;4121-0700 / 0800;4121-0683;4362-2621;;C1155AHD;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Néstor Hernández;Dr Eduardo Napoli;;;;;;
POINT (-58.4068939142787 -34.581141710889);HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;HOSP. FERNANDEZ;HOSPITAL;CERVIÃ‘O;3356;CERVIÑO AV. 3356;3356 CERVIÑO AV.;4808-2600;4808-5555 / 2600 / 2650 / 2640;4801-0932;;C1425AGP;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Previgliano Ignacio;Camera Eugenia Andrea;;;;;;
POINT (-58.437981361705 -34.6089728538414);HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;HOSP. DURAND;HOSPITAL;DIAZ VELEZ;5044;DIAZ VELEZ AV. 5044;5044 DIAZ VELEZ AV.;4982-5555 / 4982-5655 Conmutador 4982-1050 / 4981-2670;4982-1771 / 4982-5555 / 4981-2790;4982-2677;www.hospitaldurand.org.ar;C1405DCS;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;No designado;Dr Claudia Nevisardi;;;;;;
POINT (-58.4695020363265 -34.6241704940114);HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;HOSP. ALVAREZ;HOSPITAL;DOCTOR JUAN FELIPE ARANGUREN;2701;ARANGUREN, JUAN F., DR. 2701;2701 ARANGUREN, JUAN F., DR.;4611-6666 / 4630-2900;4611-6666 (int. 2111 y 2948);4612-5073;;C1406FWY;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Mario Roberto Madaffere;Dr. Tomasella marcos;;;;;;
POINT (-58.4096107488155 -34.6176598438607);HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;HOSP. RAMOS MEJIA;HOSPITAL;GENERAL URQUIZA;609;URQUIZA, GRAL. 609;609 URQUIZA, GRAL.;4127-0200 / 300;4127-0400;4932-8858;www.hospitalramosmejia.info;C1221ADC;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Hugo Pandullo;Dr Juan Pablo Rossini;;;;;;
POINT (-58.4710781593251 -34.565051956568);HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;HOSP. PIROVANO;HOSPITAL;MONROE;3555;MONROE AV. 3555;3555 MONROE AV.;4123-3100;4542-5552 / 2772 / 9279;4543-2199;;C1430BKC;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr Marcelo Newman;Hernán Edmundo Filippo;;;;;;
POINT (-58.50761514092 -34.6253367952668);HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD;HOSP. VELEZ SARSFIELD;HOSPITAL;PEDRO CALDERON DE LA BARCA;1550;CALDERON DE LA BARCA, PEDRO 1550;1550 CALDERON DE LA BARCA, PEDRO;4639-8700 al 05;4639-8700 (int. 342);4566-9590;www.hospitalvelez.org.ar;C1407KQF;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr Alejandro Marchetto;Dra serchenko Adriana;;;;;;
POINT (-58.5156291936709 -34.6491867281064);HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;HOSP. SANTOJANNI;HOSPITAL;PILAR;950;PILAR 950;950 PILAR;4630-5500 / 5509;4630-5673 / 5606 / 5536;4641-3359;www.hospitalsantojanni.gov.ar;C1408INH;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Federico Charabora;Dr Gabriel Gustavo Carqueijeda;;;;;;
POINT (-58.4108602188291 -34.6431172591975);HOSPITAL GENERAL DE AGUDOS J. A. PENNA;HOSP. PENNA;HOSPITAL;PEDRO CHUTRO;3380;CHUTRO, PEDRO, PROF., DR. 3380;3380 CHUTRO, PEDRO, PROF., DR.;4912-1085;4911-5555 / 3030 (int. 230/268);4911-7222;;C1437JLR;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Gustavo San Martín;Vacchino, Diego;;;;;;
POINT (-58.4541167814714 -34.643894071866);HOSPITAL GENERAL DE AGUDOS P. PIÑERO;HOSP. PIÑERO;HOSPITAL;VARELA;1301;VARELA AV. 1301;1301 VARELA AV.;4631-8100 / 0526;4631-8601;4632-8626;;C1406ELA;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Daniel Rivero;Dr Roberto Pereyra;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
